Nation,Position,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Cards,Red Cards,Shots,Shots on Target,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Shot Distance,Goals90,Assists90,G+A90,G-PK90,G+A-PK90,xG,npxG,xA,npxG+xA,xG90,xA90,xG+xA90,npxG90,npxG+xA90
United Kingdom,Defender,Premier League,21,2000,34,32,2881,32,0,2,0,0,0,8,0,13,2,15.4,0.41,0.06,0,0,20.5,0,0.06,0.06,0,0.06,0.7,0.7,1.4,2.1,0.02,0.04,0.07,0.02,0.07
Morocco,Defender,Ligue 1,33,1987,34,34,2983,33.1,2,0,2,0,0,5,1,18,6,33.3,0.54,0.18,0.11,0.33,18.7,0.06,0,0.06,0.06,0.06,1.2,1.2,0.8,2.1,0.04,0.02,0.06,0.04,0.06
Ghana,Midfielder,Ligue 1,21,2000,31,29,2462,27.4,1,0,1,0,0,12,3,18,5,27.8,0.66,0.18,0.06,0.2,20.3,0.04,0,0.04,0.04,0.04,0.8,0.8,1.1,1.9,0.03,0.04,0.07,0.03,0.07
France,Midfielder,Ligue 1,28,1993,34,34,2956,32.8,0,2,0,0,0,9,0,30,7,23.3,0.91,0.21,0,0,22.6,0,0.06,0.06,0,0.06,2,2,2.9,4.9,0.06,0.09,0.15,0.06,0.15
France,Forward,Ligue 1,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Forward,Bundesliga,22,1998,24,5,726,8.1,0,1,0,0,0,3,0,18,4,22.2,2.23,0.5,0,0,15.6,0,0.12,0.12,0,0.12,2.2,2.2,1.1,3.3,0.27,0.14,0.41,0.27,0.41
France,Forward,Ligue 1,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,2,0,0,1.75,0,0,,8.6,0,0,0,0,0,0.3,0.3,0,0.4,0.3,0.03,0.32,0.3,0.32
United Kingdom,Forward,Serie A,23,1997,37,36,3084,34.3,17,4,14,3,3,9,0,93,32,34.4,2.71,0.93,0.15,0.44,12.2,0.5,0.12,0.61,0.41,0.53,20.5,18.3,3.6,21.8,0.6,0.1,0.7,0.53,0.64
Peru,Defender,La Liga,25,1996,8,6,560,6.2,0,0,0,0,0,2,0,2,0,0,0.32,0,0,,7,0,0,0,0,0,0.5,0.5,0,0.5,0.08,0,0.08,0.08,0.08
Italy,Defender,Serie A,33,1988,30,29,2536,28.2,4,0,4,0,0,2,1,16,7,43.8,0.57,0.25,0.25,0.57,9.2,0.14,0,0.14,0.14,0.14,2.2,2.2,0.4,2.6,0.08,0.02,0.09,0.08,0.09
Germany,Midfielder/Forward,Bundesliga,23,1998,13,1,259,2.9,0,1,0,0,0,0,0,11,2,18.2,3.82,0.69,0,0,15.8,0,0.35,0.35,0,0.35,0.5,0.5,0.3,0.8,0.19,0.1,0.29,0.19,0.29
France,Midfielder,Ligue 1,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Defender,La Liga,29,1991,31,26,2260,25.1,1,3,1,0,0,10,0,17,5,29.4,0.68,0.2,0.06,0.2,22.1,0.04,0.12,0.16,0.04,0.16,1.4,1.4,3,4.4,0.06,0.12,0.18,0.06,0.18
United Kingdom,Forward,Premier League,25,1996,30,23,2039,22.7,7,3,7,0,0,0,0,49,24,49,2.16,1.06,0.14,0.29,12.9,0.31,0.13,0.44,0.31,0.44,7.1,7.1,2.6,9.7,0.31,0.12,0.43,0.31,0.43
USA,Midfielder,Bundesliga,22,1999,24,12,1351,15,0,1,0,0,0,5,0,2,0,0,0.13,0,0,,19.4,0,0.07,0.07,0,0.07,0.2,0.2,0.8,1,0.01,0.05,0.07,0.01,0.07
Armenia,Midfielder/Forward,Bundesliga,28,1993,13,2,331,3.7,1,0,1,0,0,0,0,3,2,66.7,0.82,0.54,0.33,0.5,16.7,0.27,0,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32
France,Midfielder/Forward,Ligue 1,17,2003,8,2,352,3.9,0,0,0,0,0,1,0,4,1,25,1.02,0.26,0,0,10.8,0,0,0,0,0,0.4,0.4,0.4,0.8,0.11,0.09,0.21,0.11,0.21
France,Midfielder/Forward,Bundesliga,21,2000,25,13,1256,14,3,2,3,0,0,3,0,38,19,50,2.72,1.36,0.08,0.16,15.3,0.21,0.14,0.36,0.21,0.36,4.5,4.5,1.8,6.3,0.32,0.13,0.45,0.32,0.45
France,Midfielder/Forward,Ligue 1,21,2000,36,25,2260,25.1,1,7,1,0,0,5,0,33,15,45.5,1.31,0.6,0.03,0.07,19.9,0.04,0.28,0.32,0.04,0.32,2.2,2.2,5.5,7.6,0.09,0.22,0.3,0.09,0.3
Switzerland,Midfielder,Serie A,24,1997,12,4,443,4.9,0,0,0,0,0,1,0,2,2,100,0.41,0.41,0,0,20.8,0,0,0,0,0,0.1,0.1,0.4,0.5,0.03,0.08,0.11,0.03,0.11
Ghana,Midfielder/Forward,Serie A,18,2003,17,6,668,7.4,2,0,2,0,0,5,1,18,7,38.9,2.43,0.94,0.11,0.29,15,0.27,0,0.27,0.27,0.27,1.9,1.9,0.2,2.1,0.25,0.03,0.28,0.25,0.28
Spain,Defender,La Liga,25,1996,24,17,1616,18,0,1,0,0,0,4,0,5,0,0,0.28,0,0,,19.8,0,0.06,0.06,0,0.06,0.2,0.2,1,1.2,0.01,0.05,0.07,0.01,0.07
